Date, Time, Event
07-May-26,14:56:47,NBIT: SINR: 1  RSSI: -76 
07-May-26,14:56:47,NBIT: TAC: 29901  Band: 8 
07-May-26,14:56:47,NBIT: Opr Mode: 3  Tx Power: 100  ECL: 0 
07-May-26,14:56:47,NBIT: Sleep Duration: 0 
07-May-26,14:56:47,NBIT: Rx Time(s): 179 
07-May-26,14:56:47,NBIT: Tx Time(s): 26 
07-May-26,14:56:47,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,14:56:47,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,14:56:47,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,14:56:48,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 1 
07-May-26,14:56:48,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,14:56:48,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:56:48,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 0 
07-May-26,14:56:53,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:56:58,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:57:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,14:57:03,LWM2M: Observe: 9  : 0  : 7  Status: 0  Index: 0 
07-May-26,14:57:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,14:57:03,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,14:57:04,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,14:57:08,NBIT: Cereg: 2 
07-May-26,14:57:11,NBIT: Cereg: 1 
07-May-26,14:57:16,NBIT: SINR: 0  RSSI: 18 
07-May-26,14:57:17,NBIT: Cereg: 1 
07-May-26,14:57:42,NBIT: Earfcn: 3701 
07-May-26,14:57:42,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,14:57:42,NBIT: Cell ID: 0338AB79 
07-May-26,14:57:42,NBIT: RSRQ: -13  RSRP: -89 
07-May-26,14:57:42,NBIT: SINR: 4  RSSI: -76 
07-May-26,14:57:42,NBIT: TAC: 29901  Band: 8 
07-May-26,14:57:42,NBIT: Opr Mode: 3  Tx Power: 230  ECL: 0 
07-May-26,14:57:42,NBIT: Sleep Duration: 0 
07-May-26,14:57:42,NBIT: Rx Time(s): 214 
07-May-26,14:57:42,NBIT: Tx Time(s): 30 
07-May-26,14:57:42,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,14:57:42,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,14:57:43,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,14:57:43,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,14:57:43,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,14:57:43,NBIT: Transmission: 1370 
07-May-26,14:57:43,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:57:43,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 0 
07-May-26,14:57:44,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,14:57:48,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:57:53,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:57:58,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,14:57:58,LWM2M: Observe: 9  : 0  : 1  Status: 0  Index: 0 
07-May-26,14:57:59,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,14:57:59,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,14:57:59,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,14:58:04,NBIT: Cereg: 2 
07-May-26,14:58:07,NBIT: Cereg: 1 
07-May-26,14:58:12,NBIT: Cereg: 1 
07-May-26,14:58:12,NBIT: SINR: 0  RSSI: 18 
07-May-26,14:58:36,NBIT: Earfcn: 3701 
07-May-26,14:58:36,NBIT: Pci: 377  EarfcnOffset: 2 
07-May-26,14:58:36,NBIT: Cell ID: 03F91A7D 
07-May-26,14:58:36,NBIT: RSRQ: -13  RSRP: -88 
07-May-26,14:58:36,NBIT: SINR: -2  RSSI: -75 
07-May-26,14:58:36,NBIT: TAC: 29901  Band: 8 
07-May-26,14:58:36,NBIT: Opr Mode: 3  Tx Power: 230  ECL: 0 
07-May-26,14:58:36,NBIT: Sleep Duration: 0 
07-May-26,14:58:36,NBIT: Rx Time(s): 212 
07-May-26,14:58:36,NBIT: Tx Time(s): 39 
07-May-26,14:58:36,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,14:58:36,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,14:58:37,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,14:58:37,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,14:58:37,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,14:58:37,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:58:37,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 0 
07-May-26,14:58:38,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,14:58:42,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:58:47,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:58:52,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,14:58:52,LWM2M: Observe: 9  : 0  : 1  Status: 0  Index: 0 
07-May-26,14:58:53,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,14:58:53,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,14:58:53,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,14:58:57,NBIT: Cereg: 2 
07-May-26,14:59:00,NBIT: Cereg: 1 
07-May-26,14:59:04,NBIT: Cereg: 1 
07-May-26,14:59:05,NBIT: SINR: 0  RSSI: 18 
07-May-26,14:59:24,NBIT: Transmission: 1380 
07-May-26,14:59:24,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 0 
07-May-26,14:59:25,NBIT: Earfcn: 3701 
07-May-26,14:59:25,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,14:59:25,NBIT: Cell ID: 0338AB79 
07-May-26,14:59:25,NBIT: RSRQ: -12  RSRP: -89 
07-May-26,14:59:25,NBIT: SINR: 3  RSSI: -77 
07-May-26,14:59:25,NBIT: TAC: 29901  Band: 8 
07-May-26,14:59:25,NBIT: Opr Mode: 3  Tx Power: 90  ECL: 0 
07-May-26,14:59:25,NBIT: Sleep Duration: 0 
07-May-26,14:59:25,NBIT: Rx Time(s): 171 
07-May-26,14:59:25,NBIT: Tx Time(s): 28 
07-May-26,14:59:25,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,14:59:25,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,14:59:25,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 1 
07-May-26,14:59:25,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 1 
07-May-26,14:59:25,LWM2M: Observe: 9  : 0  : 9  Status: 0  Index: 0 
07-May-26,14:59:26,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:59:26,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 0 
07-May-26,14:59:31,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:59:36,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,14:59:40,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,14:59:40,LWM2M: Observe: 9  : 0  : 1  Status: 0  Index: 0 
07-May-26,14:59:41,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,14:59:41,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,14:59:42,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,14:59:46,NBIT: Cereg: 2 
07-May-26,14:59:49,NBIT: Cereg: 1 
07-May-26,14:59:50,NBIT: Cereg: 1 
07-May-26,14:59:54,NBIT: SINR: 0  RSSI: 18 
07-May-26,15:00:00,LWM2M: Reading Next Run Time: 07-May-2026 16:00:00 
07-May-26,15:00:16,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,15:00:17,NBIT: Earfcn: 3701 
07-May-26,15:00:17,NBIT: Pci: 377  EarfcnOffset: 2 
07-May-26,15:00:17,NBIT: Cell ID: 03F91A7D 
07-May-26,15:00:17,NBIT: RSRQ: -13  RSRP: -87 
07-May-26,15:00:17,NBIT: SINR: -3  RSSI: -74 
07-May-26,15:00:17,NBIT: TAC: 29901  Band: 8 
07-May-26,15:00:17,NBIT: Opr Mode: 3  Tx Power: 80  ECL: 0 
07-May-26,15:00:17,NBIT: Sleep Duration: 0 
07-May-26,15:00:17,NBIT: Rx Time(s): 263 
07-May-26,15:00:17,NBIT: Tx Time(s): 29 
07-May-26,15:00:17,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,15:00:17,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,15:00:17,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
