 Timestamp, Code
 08/07/22 12:06:05 , SNSR: Temp(C): 28  Volt(mV): 2996  
 08/07/22 12:06:05 , SNSR: Average Current (uA): 15.624999  
 08/07/22 12:06:05 , FLSV: GKCOAP Hang: 3  
 08/07/22 01:06:05 , SNSR: Temp(C): 27  Volt(mV): 2996  
 08/07/22 01:06:05 , SNSR: Average Current (uA): 78.125  
 08/07/22 01:06:05 , FLSV: GKCOAP Hang: 3  
 08/07/22 02:06:05 , SNSR: Temp(C): 26  Volt(mV): 2996  
 08/07/22 02:06:05 , SNSR: Average Current (uA): -15.624999  
 08/07/22 02:06:05 , FLSV: GKCOAP Hang: 3  
 08/07/22 03:06:05 , SNSR: Temp(C): 26  Volt(mV): 2998  
 08/07/22 03:06:05 , SNSR: Average Current (uA): 31.249998  
 08/07/22 03:06:05 , FLSV: GKCOAP Hang: 3  
 08/07/22 04:06:06 , SNSR: Temp(C): 26  Volt(mV): 2998  
 08/07/22 04:06:06 , SNSR: Average Current (uA): -31.249998  
 08/07/22 04:06:06 , FLSV: GKCOAP Hang: 3  
 08/07/22 05:06:06 , SNSR: Temp(C): 26  Volt(mV): 2996  
 08/07/22 05:06:06 , SNSR: Average Current (uA): 78.125  
 08/07/22 05:06:06 , FLSV: GKCOAP Hang: 3  
 08/07/22 06:06:06 , SNSR: Temp(C): 27  Volt(mV): 2996  
 08/07/22 06:06:06 , SNSR: Average Current (uA): 78.125  
 08/07/22 06:06:06 , FLSV: GKCOAP Hang: 3  
 08/07/22 07:06:06 , SNSR: Temp(C): 27  Volt(mV): 2998  
 08/07/22 07:06:06 , SNSR: Average Current (uA): -0.0  
 08/07/22 07:06:06 , FLSV: GKCOAP Hang: 3  
 08/07/22 08:06:06 , SNSR: Temp(C): 27  Volt(mV): 2994  
 08/07/22 08:06:06 , SNSR: Average Current (uA): 78.125  
 08/07/22 08:06:06 , FLSV: GKCOAP Hang: 3  
 08/07/22 09:06:06 , SNSR: Temp(C): 28  Volt(mV): 2998  
 08/07/22 09:06:06 , SNSR: Average Current (uA): -0.0  
