 Timestamp, Code
 06/07/26 02:19:38 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 02:19:39 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 02:19:39 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 02:19:39 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 02:19:41 , LWM2M: Observe: 10376   : 0   : 6  Status: 0  Index: 0  
 06/07/26 02:19:42 , LWM2M: Observe: 10376   : 1   : 6  Status: 0  Index: 0  
 06/07/26 02:19:43 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 02:19:45 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 02:19:46 , LWM2M: Observe: 9   : 0   : 7  Status: 0  Index: 0  
 06/07/26 02:19:47 , LWM2M: Observe: 9   : 0   : 9  Status: 0  Index: 0  
 06/07/26 02:19:56 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
 06/07/26 02:19:56 , LWM2M: Notify: 9   : 0   : 1  Status: 1  Ack: 2  
 06/07/26 02:20:09 , NBIT: Lwm2m Recovered: 10  
 06/07/26 02:20:09 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 2  
 06/07/26 02:20:11 , NBIT: Cereg: 0  
 06/07/26 02:20:12 , NBIT: Cereg: 2  
 06/07/26 02:20:14 , NBIT: Cereg: 1  
 06/07/26 02:20:15 , NBIT: Cereg: 1  
 06/07/26 02:20:20 , NBIT: SINR: 0  RSSI: 15  
 06/07/26 02:20:23 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
 06/07/26 02:20:26 , NBIT: Transmission: 27800  
 06/07/26 02:20:28 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 2  
 06/07/26 02:20:38 , NBIT: Earfcn: 1391  
 06/07/26 02:20:38 , NBIT: Pci: 5  EarfcnOffset: 1  
 06/07/26 02:20:38 , NBIT: Cell ID: 0966C149  
 06/07/26 02:20:38 , NBIT: RSRQ: 65529  RSRP: 65446  
 06/07/26 02:20:38 , NBIT: SINR: 8  RSSI: 65453  
 06/07/26 02:20:38 , NBIT: TAC: 6182  Band: 3  
 06/07/26 02:20:38 , NBIT: Opr Mode: 2  Tx Power: 110  ECL: 0  
 06/07/26 02:20:38 , NBIT: Sleep Duration: 574915  
 06/07/26 02:20:38 , NBIT: Rx Time(s): 555  
 06/07/26 02:20:38 , NBIT: Tx Time(s): 17  
